ward_code,min_lon,min_lat,max_lon,max_lat
KN1601,8.947087,11.728731,9.07711,11.858807
KN1604,8.975948,11.839215,9.104132,11.93821
KN1610,8.888429,11.769503,8.934914,11.823616
KN1602,8.897079,11.883187,8.964296,11.935407
KN1311,8.820399,12.044591,8.885437,12.094442
KN4410,8.838488,11.802316,8.855052,11.816931
KN4408,8.834061,11.784898,8.870317,11.816931
KN1703,8.726425,12.090849,8.781219,12.162307
KN1709,8.751235,11.972449,8.8383,12.030887
KN1308,8.719173,12.0999,8.834123,12.216518
KN1711,8.637355,12.034117,8.733796,12.112417
KN1705,8.718015,12.038293,8.802245,12.09432
KN1707,8.750913,12.07405,8.795616,12.110545
KN1706,8.636572,12.08074,8.750899,12.157107
KN3011,8.642987,12.13478,8.733064,12.231048
KN3005,8.490765,12.143414,8.570159,12.207501
KN3007,8.628498,12.150978,8.6904,12.208135
KN3001,8.567306,12.093748,8.647069,12.14756
KN1302,8.785717,12.158797,8.874398,12.273301
KN3010,8.594995,12.183086,8.707637,12.247303
KN3002,8.585182,12.134241,8.652869,12.19331
KN1305,8.834307,12.179207,8.935214,12.266662
KN1307,8.71346,12.200485,8.793469,12.294815
KN1309,8.761878,12.237142,8.917463,12.308195
KN3008,8.647085,12.225184,8.732551,12.305981
KN0405,8.188543,11.576482,8.301572,11.65839
KN1007,8.430011,12.153069,8.523381,12.231674
KN3003,8.545598,12.159125,8.603837,12.239249
KN3009,8.504863,12.115064,8.603186,12.180085
KN3004,8.493195,12.199426,8.583319,12.281604
KN3006,8.575181,12.214018,8.671298,12.262527
KN0806,8.525696,12.516035,8.648668,12.602578
KN0804,8.624461,12.264464,8.751808,12.364077
KN3705,9.179634,11.37372,9.252517,11.484633
KN0201,9.083773,11.646703,9.19275,11.719223
KN3702,9.151626,11.471739,9.290794,11.564688
KN3704,9.047386,11.36267,9.171445,11.4969
KN0205,9.019159,11.551611,9.099085,11.647121
KN3710,9.109359,11.480706,9.182934,11.624819
KN3703,9.027785,11.445672,9.134236,11.515394
KN3707,9.118993,11.398631,9.205667,11.487802
KN0202,8.991608,11.627931,9.077666,11.704968
KN3701,9.113193,11.30626,9.222145,11.411421
KN0204,9.060486,11.62737,9.130048,11.711246
KN2910,8.449458,12.257314,8.521023,12.331531
KN3601,8.909927,11.359298,9.043353,11.528277
KN2006,8.00539,11.932697,8.100174,11.982843
KN1907,8.014092,11.854766,8.120605,11.951733
KN2003,8.078607,11.848344,8.17962,11.9083
KN2005,8.112068,11.876028,8.220363,11.964068
KN3706,9.241547,11.498693,9.360312,11.577111
KN1004,8.375733,12.060151,8.444654,12.140282
KN0506,8.344829,12.257279,8.424622,12.345994
OGSOGU02,3.685554,6.682727,3.827869,6.757955
OGSSAU11,3.575233,6.682372,3.692375,6.843913
KN3301,8.189578,11.908306,8.246252,11.99927
KN4010,7.935445,12.153769,8.02416,12.284012
KN4007,7.954973,12.223212,8.038355,12.313975
KN1507,8.330181,11.690177,8.374387,11.733706
